,C,epsilon,kernel,degree,coef,accuracy
3649,3.5,0.01,rbf,2,1,0.7653061224489796
3650,3.5,0.01,rbf,2,2,0.7653061224489796
3651,3.5,0.01,rbf,2,3,0.7653061224489796
3652,3.5,0.01,rbf,3,0,0.7653061224489796
3653,3.5,0.01,rbf,3,1,0.7653061224489796
3654,3.5,0.01,rbf,3,2,0.7653061224489796
3655,3.5,0.01,rbf,3,3,0.7653061224489796
3656,3.5,0.01,rbf,4,0,0.7653061224489796
3657,3.5,0.01,rbf,4,1,0.7653061224489796
3658,3.5,0.01,rbf,4,2,0.7653061224489796
3659,3.5,0.01,rbf,4,3,0.7653061224489796
3660,3.5,0.01,sigmoid,0,0,0.6632653061224489
3661,3.5,0.01,sigmoid,0,1,0.6632653061224489
3662,3.5,0.01,sigmoid,0,2,0.6632653061224489
3663,3.5,0.01,sigmoid,0,3,0.6632653061224489
3664,3.5,0.01,sigmoid,1,0,0.6632653061224489
3665,3.5,0.01,sigmoid,1,1,0.6632653061224489
3666,3.5,0.01,sigmoid,1,2,0.6632653061224489
3667,3.5,0.01,sigmoid,1,3,0.6632653061224489
3668,3.5,0.01,sigmoid,2,0,0.6632653061224489
3669,3.5,0.01,sigmoid,2,1,0.6632653061224489
3670,3.5,0.01,sigmoid,2,2,0.6632653061224489
3671,3.5,0.01,sigmoid,2,3,0.6632653061224489
3672,3.5,0.01,sigmoid,3,0,0.6632653061224489
3673,3.5,0.01,sigmoid,3,1,0.6632653061224489
3674,3.5,0.01,sigmoid,3,2,0.6632653061224489
3675,3.5,0.01,sigmoid,3,3,0.6632653061224489
